;;;;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;
Kehlkopf (C32);45 - 54;weiblich;2;128;143;168;160;151;155;155;153;152;162;153;149;138;133;132;125;
Kehlkopf (C32);45 - 54;männlich;1;498;535;612;513;577;550;503;445;450;407;422;401;388;335;281;264;
Kehlkopf (C32);45 - 54;männlich;2;1.043;940;1.044;1.007;995;1.020;947;846;803;774;744;732;708;642;542;477;
Kehlkopf (C32);55 - 64;weiblich;1;117;128;168;120;122;142;123;137;147;169;147;176;135;165;163;166;
Kehlkopf (C32);55 - 64;weiblich;2;228;233;282;266;230;250;248;249;266;297;293;303;290;283;308;306;
Kehlkopf (C32);55 - 64;männlich;1;1.081;1.033;1.063;894;952;910;941;823;895;850;853;856;854;835;753;765;
Kehlkopf (C32);55 - 64;männlich;2;1.927;1.949;1.954;1.830;1.731;1.753;1.743;1.660;1.621;1.626;1.595;1.598;1.600;1.578;1.477;1.411;
Kehlkopf (C32);65 - 74;weiblich;1;86;104;146;108;121;131;106;150;139;163;135;147;119;149;158;163;
Kehlkopf (C32);65 - 74;weiblich;2;169;182;241;245;220;244;228;245;277;292;288;269;254;258;294;310;
Kehlkopf (C32);65 - 74;männlich;1;1.057;1.075;1.103;1.022;1.026;1.067;1.005;929;974;912;901;838;792;805;800;770;
Kehlkopf (C32);65 - 74;männlich;2;1.974;2.067;2.087;2.033;1.953;1.983;1.965;1.823;1.792;1.781;1.703;1.634;1.547;1.515;1.534;1.487;
Kehlkopf (C32);75 und älter;weiblich;1;96;88;133;93;92;97;113;93;90;100;93;126;111;109;117;130;
Kehlkopf (C32);75 und älter;weiblich;2;188;182;222;222;184;188;208;204;183;190;193;219;237;217;226;244;
Kehlkopf (C32);75 und älter;männlich;1;429;472;533;481;479;471;569;573;472;519;552;543;607;623;550;646;
Kehlkopf (C32);75 und älter;männlich;2;851;893;989;999;947;933;1.028;1.123;1.025;980;1.060;1.076;1.121;1.196;1.135;1.162;
Lunge (C33-C34);0 - 44;weiblich;1;348;372;350;359;369;325;348;345;337;285;335;273;309;314;295;272;
Lunge (C33-C34);0 - 44;weiblich;2;512;555;542;545;549;527;511;536;519;469;486;459;457;494;477;445;
Lunge (C33-C34);0 - 44;männlich;1;471;466;473;437;431;432;410;398;309;335;314;359;283;351;285;299;
Lunge (C33-C34);0 - 44;männlich;2;656;667;686;652;622;626;610;594;507;474;475;510;471;491;479;442;
Lunge (C33-C34);45 - 54;weiblich;1;1.318;1.330;1.423;1.491;1.542;1.499;1.571;1.627;1.720;1.690;1.789;1.753;1.676;1.587;1.578;1.355;
Lunge (C33-C34);45 - 54;weiblich;2;1.930;2.090;2.200;2.309;2.374;2.386;2.405;2.520;2.652;2.685;2.735;2.791;2.667;2.552;2.497;2.257;
Lunge (C33-C34);45 - 54;männlich;1;2.016;2.002;2.104;2.086;2.246;2.252;2.336;2.213;2.076;2.105;2.168;2.027;1.902;2.045;1.745;1.545;
Lunge (C33-C34);45 - 54;männlich;2;2.931;2.988;3.083;3.136;3.252;3.359;3.462;3.403;3.221;3.111;3.218;3.129;2.936;2.977;2.822;2.397;
Lunge (C33-C34);55 - 64;weiblich;1;2.348;2.504;2.621;2.634;2.857;2.843;3.004;3.090;3.285;3.731;3.711;3.985;4.441;4.259;4.273;4.161;
Lunge (C33-C34);55 - 64;weiblich;2;3.622;3.863;4.066;4.181;4.377;4.524;4.674;4.842;5.094;5.651;5.986;6.213;6.853;6.987;6.819;6.706;
Lunge (C33-C34);55 - 64;männlich;1;5.952;5.673;5.674;5.440;5.661;5.194;5.418;5.241;5.431;5.774;5.701;6.013;5.990;6.043;5.799;5.485;
Lunge (C33-C34);55 - 64;männlich;2;8.966;8.619;8.518;8.323;8.422;8.199;8.077;8.137;8.186;8.674;8.796;9.098;9.254;9.301;9.147;8.550;
Lunge (C33-C34);65 - 74;weiblich;1;2.641;2.728;2.588;3.141;3.150;3.453;3.599;3.789;3.653;3.964;4.170;4.578;4.508;4.879;4.870;4.873;
Lunge (C33-C34);65 - 74;weiblich;2;3.962;4.257;4.213;4.605;5.002;5.281;5.633;5.927;5.951;6.090;6.521;7.063;7.288;7.641;7.912;7.857;
Lunge (C33-C34);65 - 74;männlich;1;7.949;8.097;8.126;8.406;8.142;8.642;8.284;7.985;7.768;7.735;7.790;7.590;7.625;7.742;7.197;7.541;
Lunge (C33-C34);65 - 74;männlich;2;12.094;12.354;12.461;12.747;12.718;13.001;12.974;12.475;12.075;11.931;11.979;11.869;11.787;12.024;11.647;11.517;
Lunge (C33-C34);75 und älter;weiblich;1;2.145;2.253;2.405;2.678;2.640;2.651;2.758;2.846;3.039;3.203;3.244;3.540;3.747;3.844;3.659;4.148;
Lunge (C33-C34);75 und älter;weiblich;2;3.139;3.376;3.542;3.996;4.118;4.075;4.184;4.368;4.630;4.959;5.114;5.423;5.897;6.086;5.986;6.247;
Lunge (C33-C34);75 und älter;männlich;1;4.369;4.592;4.750;4.931;5.168;5.171;5.483;5.806;5.721;5.915;6.068;6.467;6.338;6.659;6.654;6.567;
Lunge (C33-C34);75 und älter;männlich;2;6.402;6.825;7.092;7.328;7.686;7.885;8.134;8.622;8.847;8.938;9.320;9.742;9.863;10.115;10.305;10.219;
